code,name,commit,available_at,price_session,reaction,rs20,acceleration,volume_ratio,bias20,ret5,company_evidence_at_time,international_at_time,hypothetical_action,price_reason,price_history_available,price,status,outcome_basis,outcome_1d,outcome_3d,outcome_5d,outcome_10d,closed_session_at_publication,archived_global_driver_states
3055,蔚華科,315593c62aad24c20f49474f874a924806be4a86,2026-09-10T13:03:24Z,2026-09-10,EXTENDED,0.3302418646652889,0.133821303185493,2.2846717348333594,0.2653222617635429,0.2213740458015267,NOT_ARCHIVED: availability cannot be established,NOT_ESTABLISHED,WAIT,Extended price: wait for a new base; do not chase,False,160.0,INSUFFICIENT_POINT_IN_TIME_EVIDENCE,"NEXT_SESSION_OPEN_TO_NTH_SESSION_CLOSE; unadjusted indicative, not strategy P&L",-0.025236593059936863,,,,True,MIXED_OR_MISSING
2305,全友,315593c62aad24c20f49474f874a924806be4a86,2026-09-10T13:03:24Z,2026-09-10,EXTENDED,0.240260058243005,0.2140124602212187,2.322096634143396,0.2836542460787277,0.2790697512316815,NOT_ARCHIVED: availability cannot be established,NOT_ESTABLISHED,WAIT,Extended price: wait for a new base; do not chase,False,38.5,INSUFFICIENT_POINT_IN_TIME_EVIDENCE,"NEXT_SESSION_OPEN_TO_NTH_SESSION_CLOSE; unadjusted indicative, not strategy P&L",0.06209566924833676,,,,True,MIXED_OR_MISSING
3624,光頡,315593c62aad24c20f49474f874a924806be4a86,2026-09-10T13:03:24Z,2026-09-10,EXTENDED,0.1735114601433918,0.2900732065733445,2.2316248483043077,0.2410475055629801,0.3384433480589039,NOT_ARCHIVED: availability cannot be established,NOT_ESTABLISHED,WAIT,Extended price: wait for a new base; do not chase,False,113.5,INSUFFICIENT_POINT_IN_TIME_EVIDENCE,"NEXT_SESSION_OPEN_TO_NTH_SESSION_CLOSE; unadjusted indicative, not strategy P&L",0.15277777777777768,,,,True,MIXED_OR_MISSING
6538,倉和,315593c62aad24c20f49474f874a924806be4a86,2026-09-10T13:03:24Z,2026-09-10,EXTENDED,0.8870731477222806,0.0131661765464582,0.2705774513963788,0.4260136914165351,0.2399267399267399,NOT_ARCHIVED: availability cannot be established,NOT_ESTABLISHED,PASS,Extended price: wait for a new base; do not chase,False,338.5,INSUFFICIENT_POINT_IN_TIME_EVIDENCE,"NEXT_SESSION_OPEN_TO_NTH_SESSION_CLOSE; unadjusted indicative, not strategy P&L",0.09037037037037043,,,,True,MIXED_OR_MISSING
6179,亞通,805781d096513a6658c740def1df47b6ad679645,2026-09-11T11:39:30Z,2026-09-11,PERSISTENT,0.3134661746767628,0.1273635910422854,2.83365117788295,0.1942542083399667,0.2077702547051423,NOT_ARCHIVED: availability cannot be established,NOT_ESTABLISHED,WAIT,Wait for a supported pullback with >=2R to observed resistance and <=8% stop distance,True,35.75,INSUFFICIENT_POINT_IN_TIME_EVIDENCE,"NEXT_SESSION_OPEN_TO_NTH_SESSION_CLOSE; unadjusted indicative, not strategy P&L",,,,,True,MIXED_OR_MISSING
3624,光頡,805781d096513a6658c740def1df47b6ad679645,2026-09-11T11:39:30Z,2026-09-11,EXTENDED,0.3829009725393015,0.2380715904836421,5.36953916485614,0.3357652442718393,0.3358369536121337,NOT_ARCHIVED: availability cannot be established,NOT_ESTABLISHED,WAIT,Extended price: wait for a new base; do not chase,True,124.5,INSUFFICIENT_POINT_IN_TIME_EVIDENCE,"NEXT_SESSION_OPEN_TO_NTH_SESSION_CLOSE; unadjusted indicative, not strategy P&L",,,,,True,MIXED_OR_MISSING
8227,巨有科技,805781d096513a6658c740def1df47b6ad679645,2026-09-11T11:39:30Z,2026-09-11,EXTENDED,0.5693972758009127,0.3634969963873358,3.4917737288710287,0.4251639833035183,0.5078864353312302,NOT_ARCHIVED: availability cannot be established,NOT_ESTABLISHED,PASS,Extended price: wait for a new base; do not chase,True,239.0,INSUFFICIENT_POINT_IN_TIME_EVIDENCE,"NEXT_SESSION_OPEN_TO_NTH_SESSION_CLOSE; unadjusted indicative, not strategy P&L",,,,,True,MIXED_OR_MISSING
2305,全友,805781d096513a6658c740def1df47b6ad679645,2026-09-11T11:39:30Z,2026-09-11,EXTENDED,0.3904766138421269,0.230972776123264,5.793643959031113,0.3424903699868362,0.3306320495774619,NOT_ARCHIVED: availability cannot be established,NOT_ESTABLISHED,WAIT,Extended price: wait for a new base; do not chase,True,41.04999923706055,INSUFFICIENT_POINT_IN_TIME_EVIDENCE,"NEXT_SESSION_OPEN_TO_NTH_SESSION_CLOSE; unadjusted indicative, not strategy P&L",,,,,True,MIXED_OR_MISSING
3055,蔚華科,805781d096513a6658c740def1df47b6ad679645,2026-09-11T11:39:30Z,2026-09-11,EXTENDED,0.323736071749473,0.083063597918022,2.661030181827729,0.2035053554040895,0.1660377358490565,NOT_ARCHIVED: availability cannot be established,NOT_ESTABLISHED,WAIT,Extended price: wait for a new base; do not chase,True,154.5,INSUFFICIENT_POINT_IN_TIME_EVIDENCE,"NEXT_SESSION_OPEN_TO_NTH_SESSION_CLOSE; unadjusted indicative, not strategy P&L",,,,,True,MIXED_OR_MISSING
6538,倉和,805781d096513a6658c740def1df47b6ad679645,2026-09-11T11:39:30Z,2026-09-11,EXTENDED,0.9918395200253352,-0.0233333333333334,0.367902934351109,0.4924465172868295,0.2266666666666665,NOT_ARCHIVED: availability cannot be established,NOT_ESTABLISHED,PASS,Extended price: wait for a new base; do not chase,True,368.0,INSUFFICIENT_POINT_IN_TIME_EVIDENCE,"NEXT_SESSION_OPEN_TO_NTH_SESSION_CLOSE; unadjusted indicative, not strategy P&L",,,,,True,MIXED_OR_MISSING
