ticker,name,industry_cluster,region,universe_layer,issuer_id,price,ret_1d,ret_5d,ret_20d,ret_60d,ma5,ma20,ma60,ma20_slope,ma60_slope,bias20,dist_20d_high,dist_52w_high,last_price_date,calendar_staleness_days,volume_ratio20,atr_pct14,er20,vol20,maxdd20,keynes_legacy,keynes_v2,trend,rs_5d_vs_bench,rs_20d_vs_bench,rs_60d_vs_bench,decision_eligible,activation_state
ABNB,Airbnb,"Hotels, Resorts & Cruise Lines",US,DISCOVERY,1559720,165.92999267578125,-0.009432283940467912,-0.010259476786889321,-0.10976987381761572,0.1950305032905575,168.5199981689453,179.27724914550782,163.14716644287108,-0.003503340927055764,0.004725157196760961,-0.07445036407767203,-0.14227233404027217,-0.14227233404027217,2026-09-17,1,0.7304959586533524,0.029660519746030765,0.3865483401997393,0.0778708098801035,-0.12897641640009838,-1.0656254123694715,-0.544894326814696,PULLBACK,-0.016553709515240378,-0.1013699804501752,0.15547113986730388,False,RESEARCH_WHY_REQUIRED
AKAM,Akamai Technologies,Internet Services & Infrastructure,US,DISCOVERY,1086222,107.08000183105469,0.024885130078324602,-0.00046667995561522346,-0.05104568144071964,-0.10669892902702915,105.86400146484375,107.1689998626709,114.72833353678385,-0.006225886792576605,-0.004767666092315997,-0.0008304456674061989,-0.05037247426009728,-0.352795383462276,2026-09-17,1,0.9535388237234415,0.041831211405046885,0.14784383393608697,0.10329118136725501,-0.07408714332038513,-0.6201344960286725,-0.07306324848046133,BEAR,-0.00676091268396628,-0.04264578807327912,-0.14625829245028277,False,RESEARCH_WHY_REQUIRED
ARE,Alexandria Real Estate Equities,Office REITs,US,DISCOVERY,1035443,56.34000015258789,0.05269057680688327,0.13680384567040726,0.11454007918723019,0.10618785264473107,53.177999877929686,52.38650035858154,50.93618208567302,0.0035897010473812667,0.0003413454299186972,0.07546791190373381,-0.005647717890681081,-0.32261926865711277,2026-09-17,1,1.7410779371189817,0.03170799514909176,0.3261972346775968,0.09860843681950911,-0.08290154452882492,0.8444195219845886,0.3788991925611325,STRONG_UP,0.1305096129420562,0.1229399725546707,0.06662848922147746,False,RESEARCH_WHY_REQUIRED
ALGN,Align Technology,Health Care Supplies,US,DISCOVERY,1097149,149.7100067138672,-0.004918512790861529,-0.006701131227812129,-0.08175899853523483,-0.11146060992952378,150.1960021972656,155.84050064086915,168.7380007425944,-0.006977883190763831,-0.0016135282478833503,-0.03933825867981233,-0.09068265750200166,-0.2530931705729187,2026-09-17,1,0.9276366866446575,0.03223373725871077,0.2883409258791059,0.08414546516889491,-0.0983807283283118,-0.7390949648802861,-0.28016323029743706,BEAR,-0.012995363956163186,-0.07335910516779431,-0.1510199733527774,False,RESEARCH_WHY_REQUIRED
ALLE,Allegion,Building Products,US,DISCOVERY,1579241,153.6300048828125,0.00536618897532759,0.019208705090285605,-0.05274194355682116,0.19738832404694895,153.73744506835936,155.93598861694335,151.7472780863444,-0.003522428746421108,0.002796710646115543,-0.014788014970652408,-0.07134261050024437,-0.15134468705878268,2026-09-17,1,0.749232842318188,0.02303478702832834,0.27789741271276514,0.05555922511952762,-0.07059461745936824,-0.5853753537679726,-0.26380586886068347,PULLBACK,0.012914472361934548,-0.044342050189380644,0.15782896062369534,False,RESEARCH_WHY_REQUIRED
LNT,Alliant Energy,Electric Utilities,US,DISCOVERY,352541,66.63999938964844,0.00801692292245848,-0.009070641046119876,-0.05003566728270992,-0.09954738396591845,66.58399963378906,67.77449951171874,71.31603495279948,-0.0019464142505907877,-0.0009224439816752757,-0.016739336037061348,-0.05595689408078275,-0.14799202315642668,2026-09-17,1,1.1282641272271805,0.01537043828098134,0.3939391344629846,0.03773187098609487,-0.05930154770666274,-0.46544213375690247,-0.5223967682093638,BEAR,-0.015364873774470933,-0.0416357739152694,-0.13910674738917206,False,RESEARCH_WHY_REQUIRED
ALL,Allstate,Property & Casualty Insurance,US,DISCOVERY,899051,252.2100067138672,-0.010359032083272157,0.0016681100875088894,-0.024949312077735875,0.09375801310312548,255.29200439453126,256.5841972351074,254.7687105814616,-0.0010037072684478713,0.0027576666124048935,-0.017047778344790876,-0.05344344094868947,-0.08643075443069259,2026-09-17,1,0.9617843023821454,0.019090422877680865,0.11203662226809159,0.060333990489384856,-0.04302380257558125,-0.35439421031253576,-0.04632938465414156,BEAR,-0.004626122640842167,-0.01654941871029536,0.05419864967987187,False,RESEARCH_WHY_REQUIRED
GOOG,Alphabet Inc. (Class C),Interactive Media & Services,US,DISCOVERY,1652044,343.67999267578125,0.01272986654494157,0.04022512012502988,0.006447437352775642,-0.006290042937473483,341.12599487304686,338.0270660400391,345.03417002360027,-0.001092723432456761,-0.00125441931607314,0.016723295864931043,-0.01199973549177713,-0.14923212708826905,2026-09-17,1,0.9192521574020952,0.022074003566805136,0.028070175438596492,0.06205849703133137,-0.046422701336621186,-0.03450986162063123,0.0029162919870650587,BEAR,0.03393088739667882,0.014847330720216156,-0.045849406360727096,False,RESEARCH_WHY_REQUIRED
MO,Altria,Tobacco,US,DISCOVERY,764180,69.69999694824219,-0.0057061559855322574,0.029411125082157596,0.07243969130720651,-0.011127111756909835,69.4011245727539,67.83596420288086,68.80276571909586,0.00318997500362058,-0.000238257609336109,0.02747853247558263,-0.014283724357341376,-0.08106423987317679,2026-09-17,1,0.8391924339317477,0.01947934823713296,0.3254762385736762,0.0614218069882373,-0.024148298915293576,0.3874172058566578,0.38386038129133904,REBOUND,0.02311689235380654,0.08083958467464702,-0.05068647518016345,False,RESEARCH_WHY_REQUIRED
AMCR,Amcor,Paper & Plastic Packaging Products & Materials,US,DISCOVERY,1748790,42.380001068115234,0.009768878615373122,-0.01441857981127359,-0.09401668348345571,0.06329231318746431,42.27600021362305,44.79441909790039,44.33928000132243,-0.0033253540314794024,0.0023066616782833633,-0.05389997411303238,-0.12159970968794143,-0.13076985714356215,2026-09-17,1,0.9308966823419026,0.021278226025679477,0.44526752340689807,0.0555242979696241,-0.12383168229626484,-0.9674181543349161,-0.7539505647871579,BEAR,-0.020712812539624648,-0.0856167901160152,0.023732949764210698,False,RESEARCH_WHY_REQUIRED
AEE,Ameren,Multi-Utilities,US,DISCOVERY,1002910,103.9000015258789,0.008346279141210333,-0.010004720847024973,-0.04248631882851073,-0.06323103063234126,103.76600036621093,105.40702743530274,108.89623463948568,-0.0016114354682683324,-0.0002629524023759634,-0.014297205282150838,-0.04884021834046148,-0.11564326029011651,2026-09-17,1,1.2378364099795132,0.015480950652789623,0.33964775487858484,0.03767547126044499,-0.05059620046870317,-0.4345224043036962,-0.3830179774900307,BEAR,-0.01629895357537603,-0.03408642546107021,-0.10279039405559487,False,RESEARCH_WHY_REQUIRED
AEP,American Electric Power,Electric Utilities,US,DISCOVERY,4904,121.62000274658203,0.007705694642166305,-0.01498338427011281,-0.03682580201240315,-0.08370012780277747,121.69600219726563,122.99900016784667,128.09776077270507,-0.0008704057796769968,-0.0004942130258269983,-0.011211452283212409,-0.046416795722514226,-0.128283171027485,2026-09-17,1,1.4046609833328874,0.015619494338395946,0.2561980969803561,0.04809181301502509,-0.0448245520170103,-0.35034246418601855,-0.19618100886330525,BEAR,-0.021277616998463866,-0.02842590864496264,-0.12325949122603108,False,RESEARCH_WHY_REQUIRED
AXP,American Express,Consumer Finance,US,DISCOVERY,4962,311.1700134277344,-0.0040328370437674455,-0.029746432233247133,-0.08452480430905696,-0.07625736535799443,320.1,327.66850128173826,338.67644653320315,-0.002778902400191931,0.0004221285209891935,-0.05035115609058205,-0.09543600747751635,-0.19042161625188048,2026-09-17,1,1.7297894420518933,0.019187128343784225,0.42746610871365676,0.05939748278536776,-0.08452480430905696,-0.7428724819786595,-0.6083000068931658,BEAR,-0.03604066496159819,-0.07612491094161644,-0.11581672878124805,False,RESEARCH_WHY_REQUIRED
AIG,American International Group,Multi-line Insurance,US,DISCOVERY,5272,75.68000030517578,-0.00512684883939829,0.015344820103471823,0.006358315470977871,-0.004556078166128574,75.57044982910156,75.6337459564209,76.99521891276042,-0.0006173287344753119,0.0004129050257918262,0.0006115570261657766,-0.02080568177574893,-0.1162799932573102,2026-09-17,1,1.0366825605186634,0.016698361835732114,0.043651658746316394,0.040174840704075024,-0.03489268339935414,-0.040857121762552115,0.006908577912852742,BEAR,0.009050587375120767,0.014758208838418385,-0.04411544158938219,False,RESEARCH_WHY_REQUIRED
AMT,American Tower,Telecom Tower REITs,US,DISCOVERY,1053507,175.5800018310547,-0.004592083232589861,0.0150306750360365,0.006246755135401294,-0.021184094928753727,176.89400329589844,176.07250061035157,171.7936668395996,0.0010965200402293616,-0.0009801997381939367,-0.0027971362795987664,-0.029837518090197857,-0.09600150675900276,2026-09-17,1,1.2532923480007814,0.023105061118025787,0.03324169074068559,0.056832175481812956,-0.03164030309420918,-0.01453809080991636,0.003653787675438378,PULLBACK,0.008736442307685444,0.014646648502841808,-0.06074345835200734,False,RESEARCH_WHY_REQUIRED
AWK,American Water Works,Water Utilities,US,DISCOVERY,1410636,138.24000549316406,0.00348440044620002,-0.011441582427251795,-0.0033883728494992216,0.09920632465161816,138.1260009765625,138.52400131225585,134.9498207092285,0.001208269641195237,0.001892535216340576,-0.0020501560480599146,-0.029008848533175535,-0.029008848533175535,2026-09-17,1,1.019671942525726,0.018265322307609813,0.020319952501896627,0.05246180484791332,-0.02393487970242336,-0.09105746196166332,-0.0013124133940900606,PULLBACK,-0.017735815155602852,0.0050115205179412925,0.05964696122836455,False,RESEARCH_WHY_REQUIRED
AMP,Ameriprise Financial,Asset Management & Custody Banks,US,DISCOVERY,820027,545.7000122070312,0.008948761207251632,-0.014145604891192431,-0.025152767789035413,0.17441142977013602,552.4099975585938,554.8405059814453,534.4497309366863,-0.0008438810134247821,0.003303312295706467,-0.01647409242093023,-0.03812596589506234,-0.04691208863017671,2026-09-17,1,1.13057443977726,0.022652432618980166,0.11853852822038824,0.06245197498546785,-0.04286124266615221,-0.3321124533957808,-0.047741838029545715,PULLBACK,-0.02043983761954349,-0.0167528744215949,0.1348520663468824,False,RESEARCH_WHY_REQUIRED
AME,Ametek,Electrical Components & Equipment,US,DISCOVERY,1037868,234.32000732421875,0.009173542617753272,0.0017993564277054563,-0.035188390692886595,0.0024841459680071676,235.15760498046876,236.9158172607422,240.14855473836263,-0.003794526102868301,0.0006151433004512714,-0.010956676369423546,-0.05148952809693441,-0.10146469279796999,2026-09-17,1,1.177893552483763,0.022320944511917164,0.15118917306547638,0.07014402358413832,-0.05660679084556863,-0.34813816284706706,-0.07584543085101074,BEAR,-0.0044948763006456005,-0.02678849732544608,-0.037075217455246445,False,RESEARCH_WHY_REQUIRED
APH,Amphenol,Electronic Components,US,DISCOVERY,820313,78.37000274658203,0.014367079726380627,-0.023426757051937308,0.004486107646439308,-0.01235029296010226,79.1500015258789,79.86550025939941,80.47766647338867,-0.0019036991400332244,0.0010502046972322306,-0.01872520059299787,-0.0723248149569361,-0.1220031271456603,2026-09-17,1,0.7789352950171263,0.03454308767826055,0.011721582520952751,0.10832506923151485,-0.07936125092980972,-0.09029466443739603,0.0004854303934321162,BEAR,-0.029720989780288365,0.012886001013879822,-0.05190965638335587,False,RESEARCH_WHY_REQUIRED
ADI,Analog Devices,Semiconductors,US,DISCOVERY,6281,362.6499938964844,0.0016848561959053043,0.003875415630406609,-0.025465087595105462,-0.10682390097831118,365.1679992675781,364.6876907348633,375.9868937174479,-0.002504985208433122,-0.002191096551728178,-0.005587511972978465,-0.05505939166177598,-0.1842414397648794,2026-09-17,1,0.834571217295967,0.029104091300991404,0.11059365059804561,0.08406381442904207,-0.0505176381778365,-0.3191780644054101,-0.033501656081986714,BEAR,-0.002418817097944448,-0.017065194227664948,-0.1463832644015648,False,RESEARCH_WHY_REQUIRED
AON,Aon plc,Insurance Brokers,US,DISCOVERY,315293,296.04998779296875,-0.015038158901777399,-0.038080390028484845,-0.15033150412959084,-0.07487422641676766,303.10400390625,327.6234985351563,345.343408203125,-0.0068138488035274555,8.661718876636362e-06,-0.09637132526621706,-0.18157194923990372,-0.2239241799625299,2026-09-17,1,1.8671835715424536,0.036220192622348865,0.4092826058445507,0.1184998591059189,-0.1755778814784309,-1.2951217796853371,-0.5192248346531286,BEAR,-0.0443746227568359,-0.14193161076215033,-0.11443358984002128,False,RESEARCH_WHY_REQUIRED
