driver_id,driver_label,global_theme,ticker,name,region,benchmark,peer_role,price,ret_5d,ret_20d,ret_60d,ma20,ma60,above_ma20,above_ma60,rs_20d_vs_local_benchmark,trend
ENTERPRISE_CYBER_SPEND,Enterprise cybersecurity spending,Cybersecurity,PANW,Palo Alto Networks,US,SPY,DIRECT_PEER,375.0899963378906,0.11309271799242926,-0.0017830887010895635,0.3033914724058122,352.7015014648438,345.1855000813802,True,True,0.017992454026956928,UP
ENTERPRISE_CYBER_SPEND,Enterprise cybersecurity spending,Cybersecurity,CRWD,CrowdStrike,US,SPY,DIRECT_PEER,242.49000549316406,0.15460432606495655,0.13366064708966596,0.4162895229960646,209.86450119018554,200.48295822143555,True,True,0.15343618981771245,UP
ENTERPRISE_CYBER_SPEND,Enterprise cybersecurity spending,Cybersecurity,FTNT,Fortinet,US,SPY,DIRECT_PEER,172.3699951171875,0.09462115819508488,0.10599928371320888,0.19097630211833927,159.46299896240234,158.32699940999348,True,True,0.12577482644125537,UP
CLOUD_MSP_ENTERPRISE_SPEND,Cloud adoption / MSP enterprise spend,Cloud_AI,SKYY,Cloud Computing ETF,US,SPY,SECTOR_BREADTH,162.3699951171875,0.017228418018563785,0.0008012180696634896,0.23119494317177325,161.05949935913085,148.2529997507731,True,True,0.02057676079770998,UP
CLOUD_MSP_ENTERPRISE_SPEND,Cloud adoption / MSP enterprise spend,Cloud_AI,CLOU,Cloud Computing ETF,US,SPY,SECTOR_BREADTH,28.190000534057617,0.03525527021519914,0.011119131370967095,0.2960919785773617,27.879500102996825,25.64674997329712,True,True,0.030894674099013586,UP
CLOUD_MSP_ENTERPRISE_SPEND,Cloud adoption / MSP enterprise spend,Cloud_AI,MSFT,Microsoft Azure,US,SPY,DEMAND_CONTEXT,497.1199951171875,0.006417618851738416,0.034912019986646836,0.3102793967171804,495.7730010986328,444.0729990641276,True,True,0.05468756271469333,UP
CLOUD_MSP_ENTERPRISE_SPEND,Cloud adoption / MSP enterprise spend,Cloud_AI,AMZN,Amazon AWS,US,SPY,DEMAND_CONTEXT,248.4199981689453,-0.03327237814197037,-0.04932838203696399,0.016490031463487043,257.86049880981443,252.4274991353353,False,False,-0.0295528393089175,MIXED
CLOUD_MSP_ENTERPRISE_SPEND,Cloud adoption / MSP enterprise spend,Cloud_AI,ORCL,Oracle Cloud,US,SPY,DEMAND_CONTEXT,140.35000610351562,-0.13641396496506264,-0.04295934575637084,-0.23842850281292793,148.77649993896483,142.57766710917156,False,False,-0.023183803028324346,MIXED
AI_NETWORKING_UPGRADE,800G/1.6T AI networking upgrade,AI_Networking,ANET,Arista Networks,US,SPY,DIRECT_PEER,192.83999633789062,-0.010874078287697153,-0.04440042903056407,0.13655919384094228,192.1614990234375,182.79400075276692,True,True,-0.02462488630251758,UP
AI_NETWORKING_UPGRADE,800G/1.6T AI networking upgrade,AI_Networking,MRVL,Marvell Technology,US,SPY,DIRECT_PEER,221.6999969482422,-0.016458926638537763,-0.05389836889908095,-0.2861742335845677,226.95400009155273,225.70216674804686,False,False,-0.03412282617103446,MIXED
