audit_at_utc,run_id,decision_contract_version,ticker,taiwan_code,name,global_theme,driver_id,dynamic_driver_state,provenance_status,reaction_state,previous_reaction_state,entry_trigger_state,stock_vs_etf_state,candidate_action,portfolio_action,risk_gate_pass,decision_blockers,risk_blockers,strategy_version,deployment_mode,live_execution_authorized,execution_action,decision_session,public_lineage_id
2026-09-06T02:30:46.740960+00:00,20260906T102742+0800-8e1355c0,2.7.1,2382.TW,2382,廣達,AI_Server,AI_SERVER_SHIPMENTS,ACTIVE_RESEARCH_VALIDATED,NEEDS_SOURCE_BACKFILL,UNKNOWN,UNKNOWN,NOT_TRIGGERED,STOCK_BLOCKED_WEAK_EDGE,WATCH_RESEARCH,WATCH_RESEARCH,False,EDGE_PROVENANCE_NOT_SOURCE_BACKED,RISK_POLICY_MISSING;PORTFOLIO_STATE_MISSING;NO_ENTRY_TRIGGER,,,,,2026-09-06,
2026-09-06T02:30:46.740960+00:00,20260906T102742+0800-8e1355c0,2.7.1,3017.TW,3017,奇鋐,AI_Infrastructure,DATACENTER_COOLING_INFRA,UNRESOLVED,NEEDS_SOURCE_BACKFILL,PERSISTENT,PERSISTENT,NOT_TRIGGERED,STOCK_BLOCKED_WEAK_EDGE,WATCH_RESEARCH,WATCH_RESEARCH,False,DRIVER_NOT_ACTIVE_RESEARCH_VALIDATED;EDGE_PROVENANCE_NOT_SOURCE_BACKED,RISK_POLICY_MISSING;PORTFOLIO_STATE_MISSING;NO_ENTRY_TRIGGER,,,,,2026-09-06,
2026-09-06T02:30:46.740960+00:00,20260906T102742+0800-8e1355c0,2.7.1,2344.TW,2344,華邦電,Memory,SPECIALTY_MEMORY_PRICING,UNRESOLVED,NEEDS_SOURCE_BACKFILL,UNKNOWN,UNKNOWN,NOT_TRIGGERED,STOCK_BLOCKED_WEAK_EDGE,WATCH_RESEARCH,WATCH_RESEARCH,False,DRIVER_NOT_ACTIVE_RESEARCH_VALIDATED;EDGE_PROVENANCE_NOT_SOURCE_BACKED,RISK_POLICY_MISSING;PORTFOLIO_STATE_MISSING;NO_ENTRY_TRIGGER,,,,,2026-09-06,
2026-09-06T02:30:46.740960+00:00,20260906T102742+0800-8e1355c0,2.7.1,2330.TW,2330,台積電,Foundry,LEADING_EDGE_FOUNDRY_AI_DEMAND,UNRESOLVED,NEEDS_SOURCE_BACKFILL,UNKNOWN,UNKNOWN,NOT_TRIGGERED,ETF_CORE_PREFERRED,WATCH_RESEARCH,WATCH_RESEARCH,False,DRIVER_NOT_ACTIVE_RESEARCH_VALIDATED;EDGE_PROVENANCE_NOT_SOURCE_BACKED,RISK_POLICY_MISSING;PORTFOLIO_STATE_MISSING;NO_ENTRY_TRIGGER,,,,,2026-09-06,
2026-09-06T02:30:46.740960+00:00,20260906T102742+0800-8e1355c0,2.7.1,2303.TW,2303,聯電,Foundry,MATURE_NODE_FOUNDRY_UTILIZATION,UNRESOLVED,NEEDS_SOURCE_BACKFILL,UNKNOWN,UNKNOWN,NOT_TRIGGERED,STOCK_BLOCKED_WEAK_EDGE,WATCH_RESEARCH,WATCH_RESEARCH,False,DRIVER_NOT_ACTIVE_RESEARCH_VALIDATED;EDGE_PROVENANCE_NOT_SOURCE_BACKED,RISK_POLICY_MISSING;PORTFOLIO_STATE_MISSING;NO_ENTRY_TRIGGER,,,,,2026-09-06,
2026-09-06T02:30:46.740960+00:00,20260906T102742+0800-8e1355c0,2.7.1,5351.TWO,5351,鈺創,Memory,MEMORY_IC_CYCLE,UNRESOLVED,NEEDS_SOURCE_BACKFILL,PULLBACK,PULLBACK,NOT_TRIGGERED,STOCK_BLOCKED_WEAK_EDGE,WATCH_RESEARCH,WATCH_RESEARCH,False,DRIVER_NOT_ACTIVE_RESEARCH_VALIDATED;EDGE_PROVENANCE_NOT_SOURCE_BACKED,RISK_POLICY_MISSING;PORTFOLIO_STATE_MISSING;NO_ENTRY_TRIGGER,,,,,2026-09-06,
2026-09-06T02:30:46.740960+00:00,20260906T102742+0800-8e1355c0,2.7.1,8299.TWO,8299,群聯,Memory,NAND_STORAGE_CYCLE,ACTIVE_RESEARCH_VALIDATED,NEEDS_SOURCE_BACKFILL,BROKEN,BROKEN,NOT_TRIGGERED,STOCK_BLOCKED_WEAK_EDGE,WATCH_RESEARCH,WATCH_RESEARCH,False,EDGE_PROVENANCE_NOT_SOURCE_BACKED,RISK_POLICY_MISSING;PORTFOLIO_STATE_MISSING;NO_ENTRY_TRIGGER,,,,,2026-09-06,
2026-09-06T02:30:46.740960+00:00,20260906T102742+0800-8e1355c0,2.7.1,2337.TW,2337,旺宏,Memory,SPECIALTY_MEMORY_PRICING,UNRESOLVED,NEEDS_SOURCE_BACKFILL,BROKEN,BROKEN,NOT_TRIGGERED,STOCK_BLOCKED_WEAK_EDGE,WATCH_RESEARCH,WATCH_RESEARCH,False,DRIVER_NOT_ACTIVE_RESEARCH_VALIDATED;EDGE_PROVENANCE_NOT_SOURCE_BACKED,RISK_POLICY_MISSING;PORTFOLIO_STATE_MISSING;NO_ENTRY_TRIGGER,,,,,2026-09-06,
2026-09-06T02:30:46.740960+00:00,20260906T102742+0800-8e1355c0,2.7.1,3260.TWO,3260,威剛,Memory,NAND_STORAGE_CYCLE,ACTIVE_RESEARCH_VALIDATED,NEEDS_SOURCE_BACKFILL,BROKEN,BROKEN,NOT_TRIGGERED,STOCK_BLOCKED_WEAK_EDGE,WATCH_RESEARCH,WATCH_RESEARCH,False,EDGE_PROVENANCE_NOT_SOURCE_BACKED,RISK_POLICY_MISSING;PORTFOLIO_STATE_MISSING;NO_ENTRY_TRIGGER,,,,,2026-09-06,
2026-09-06T02:30:46.740960+00:00,20260906T102742+0800-8e1355c0,2.7.1,5347.TWO,5347,世界,Foundry,MATURE_NODE_FOUNDRY_UTILIZATION,UNRESOLVED,NEEDS_SOURCE_BACKFILL,BROKEN,BROKEN,NOT_TRIGGERED,STOCK_BLOCKED_WEAK_EDGE,WATCH_RESEARCH,WATCH_RESEARCH,False,DRIVER_NOT_ACTIVE_RESEARCH_VALIDATED;EDGE_PROVENANCE_NOT_SOURCE_BACKED,RISK_POLICY_MISSING;PORTFOLIO_STATE_MISSING;NO_ENTRY_TRIGGER,,,,,2026-09-06,
