trace_at_utc,source_run_id,decision_session,canonical_closed_price_date,closed_session_verified,strategy_version,ticker,name,global_theme,driver_id,entry_style,reaction_state,current_action,entry_status,entry_structure_valid,risk_gate_pass,global_alignment_score,score_is_probability,trigger_price,buy_zone_low,buy_zone_high,invalidation_price,reference_pivot,atr_pct,ma20,ma60,rs20,rs60,keynes_v2,why_now,why_not_now
2026-09-07T02:32:59.463878+00:00,20260907T083423+0800-0e24be27,2026-09-04,2026-09-04,True,ALPHA_HUNTER_ADVISORY_V2,2376.TW,技嘉,AI_Server,AI_SERVER_RACK_BUILD,FRESH_BREAKOUT,PRE_CONFIRMATION,AVOID,WATCHLIST,False,0.0,0.6219,False,,,,,,0.0358132172536604,356.425,343.68333333333334,-0.0031573342449504,0.0097108433283785,0.0325879857527893,,CAUSAL_DRIVER_NOT_ACTIVE;GLOBAL_ALIGNMENT_NOT_ELIGIBLE
2026-09-07T02:32:59.463878+00:00,20260907T083423+0800-0e24be27,2026-09-04,2026-09-04,True,ALPHA_HUNTER_ADVISORY_V2,3006.TW,晶豪科,Memory,MEMORY_IC_CYCLE,CONTINUATION_BASE,PERSISTENT,PREPARE,WATCHLIST,False,0.0,0.6135,False,,,,,,0.067966145165427,270.925,236.525,0.0331940416107092,0.3082804167437283,0.0545898813124518,,CAUSAL_DRIVER_NOT_ACTIVE;COMPANY_EDGE_NOT_SOURCE_BACKED;GLOBAL_ALIGNMENT_NOT_ELIGIBLE
2026-09-07T02:32:59.463878+00:00,20260907T083423+0800-0e24be27,2026-09-04,2026-09-04,True,ALPHA_HUNTER_ADVISORY_V2,2886.TW,兆豐金,Financials,FINANCIALS_RATE_CREDIT_CYCLE,FRESH_BREAKOUT,PRE_CONFIRMATION,AVOID,WATCHLIST,False,0.0,0.6033,False,,,,,,0.0237134222520197,47.85,47.5650000890096,-0.0428134717153263,0.1073247878623533,0.0040462126317542,,CAUSAL_DRIVER_NOT_ACTIVE;COMPANY_EDGE_NOT_SOURCE_BACKED;GLOBAL_ALIGNMENT_NOT_ELIGIBLE
2026-09-07T02:32:59.463878+00:00,20260907T083423+0800-0e24be27,2026-09-04,2026-09-04,True,ALPHA_HUNTER_ADVISORY_V2,2308.TW,台達電,Power,POWER_ELECTRONICS_CAPEX,NONE,UNKNOWN,PREPARE,WATCHLIST,False,0.0,0.592,False,,,,,,0.0450097847358121,1798.0,1848.4166666666667,0.0534846671644926,-0.2430525652230357,0.1373065726304613,,GLOBAL_ALIGNMENT_NOT_ELIGIBLE;NO_ENTRY_STYLE_FOR_CURRENT_REACTION
2026-09-07T02:32:59.463878+00:00,20260907T083423+0800-0e24be27,2026-09-04,2026-09-04,True,ALPHA_HUNTER_ADVISORY_V2,1513.TW,中興電,Power,POWER_ELECTRONICS_CAPEX,NONE,UNKNOWN,PREPARE,WATCHLIST,False,0.0,0.5905,False,,,,,,0.0258955545964609,165.875,166.8,-0.0017822881024625,-0.0343826086675838,0.1089532556251546,,GLOBAL_ALIGNMENT_NOT_ELIGIBLE;NO_ENTRY_STYLE_FOR_CURRENT_REACTION
2026-09-07T02:32:59.463878+00:00,20260907T083423+0800-0e24be27,2026-09-04,2026-09-04,True,ALPHA_HUNTER_ADVISORY_V2,2317.TW,鴻海,AI_Server,AI_SERVER_SHIPMENTS,FRESH_BREAKOUT,PRE_CONFIRMATION,PREPARE,WATCHLIST,False,0.0,0.5834,False,,,,,,0.0245535714285714,252.925,250.4333333333333,-0.0679605542807286,-0.0745646846966729,-0.0094672815122143,,GLOBAL_ALIGNMENT_NOT_ELIGIBLE
2026-09-07T02:32:59.463878+00:00,20260907T083423+0800-0e24be27,2026-09-04,2026-09-04,True,ALPHA_HUNTER_ADVISORY_V2,6472.TW,保瑞,Biotech,BIOPHARMA_RISK_APPETITE,NONE,UNKNOWN,PREPARE,WATCHLIST,False,0.0,0.5697,False,,,,,,0.0430116758241758,429.65,418.48333333333335,-0.0561687532673708,-0.0037623817837098,-0.0001961526146888,,CAUSAL_DRIVER_NOT_ACTIVE;COMPANY_EDGE_NOT_SOURCE_BACKED;GLOBAL_ALIGNMENT_NOT_ELIGIBLE;NO_ENTRY_STYLE_FOR_CURRENT_REACTION
2026-09-07T02:32:59.463878+00:00,20260907T083423+0800-0e24be27,2026-09-04,2026-09-04,True,ALPHA_HUNTER_ADVISORY_V2,2408.TW,南亞科,Memory,DRAM_PRICING,PULLBACK_RECOVERY,PULLBACK,PREPARE,WATCHLIST,False,0.0,0.5665,False,,,,,,0.0679003456221198,511.3,453.14166666666665,0.0327632295940398,0.417340946705715,0.045348305077186,,CAUSAL_DRIVER_NOT_ACTIVE;COMPANY_EDGE_NOT_SOURCE_BACKED;GLOBAL_ALIGNMENT_NOT_ELIGIBLE
2026-09-07T02:32:59.463878+00:00,20260907T083423+0800-0e24be27,2026-09-04,2026-09-04,True,ALPHA_HUNTER_ADVISORY_V2,5351.TWO,鈺創,Memory,MEMORY_IC_CYCLE,PULLBACK_RECOVERY,PULLBACK,PREPARE,WATCHLIST,False,0.0,0.552,False,,,,,,0.0761904761904761,120.125,99.53833351135252,0.0291548303346558,0.2388537103397323,0.037776886820141,,CAUSAL_DRIVER_NOT_ACTIVE;COMPANY_EDGE_NOT_SOURCE_BACKED;GLOBAL_ALIGNMENT_NOT_ELIGIBLE
2026-09-07T02:32:59.463878+00:00,20260907T083423+0800-0e24be27,2026-09-04,2026-09-04,True,ALPHA_HUNTER_ADVISORY_V2,4967.TW,十銓,Memory,NAND_STORAGE_CYCLE,FRESH_BREAKOUT,PRE_CONFIRMATION,AVOID,WATCHLIST,False,0.0,0.547,False,,,,,,0.0384316770186335,272.9,255.5,-0.0349644695956494,-0.0177118923547481,0.0116085969023428,,CAUSAL_DRIVER_NOT_ACTIVE;GLOBAL_ALIGNMENT_NOT_ELIGIBLE
