ticker,name,theme,region,benchmark,universe_layer,price,ret_1d,ret_5d,ret_20d,ret_60d,ma5,ma20,ma60,ma20_slope,ma60_slope,bias20,dist_20d_high,dist_52w_high,last_price_date,calendar_staleness_days,volume_ratio20,atr_pct14,er20,vol20,maxdd20,keynes_legacy,keynes_v2,trend,rs_5d_vs_bench,rs_20d_vs_bench,rs_60d_vs_bench,rs_5d_vs_local,rs_5d_vs_global,rs_20d_vs_local,rs_20d_vs_global,rs_60d_vs_local,rs_60d_vs_global,local_benchmark,global_benchmark,local_rs_status,global_rs_basis,acceleration,r_rs20,r_rs60,r_accel,r_slope,r_volume,r_high,r_quality,leader_score_v1,raw_leader_state
REGN,Regeneron,Biotech,US,SPY,CORE,781.489990234375,-0.014837530426785928,-0.07348214236611517,-0.02924104655103521,0.27275805172351575,804.0859985351562,816.8436431884766,729.064995320638,0.0022557200521265562,0.004829696955364104,-0.0432808080823176,-0.09059282029020077,-0.09059282029020077,2026-09-11,1,0.7144638704953777,0.02527588511761186,0.09778382887234134,0.0818955827333678,-0.08279055507082556,-0.40549263755802495,-0.034913989211161574,PULLBACK,-0.06199695142609862,-0.0117704511247958,0.2515288180160835,-0.06199695142609862,-0.06199695142609862,-0.0117704511247958,-0.0117704511247958,0.2515288180160835,0.2515288180160835,SPY,SPY,AVAILABLE,LOCAL_CURRENCY_ASSET_VS_USD_BENCHMARK_NOT_FX_HEDGED,-0.06617188072835636,0.5714285714285714,0.9078341013824884,0.07373271889400922,0.7741935483870968,0.2304147465437788,0.7557603686635944,0.5944700460829493,0.5709677419354837,WEAKENING
EQIX,Equinix,AI_Infrastructure,US,SPY,CORE,1037.719970703125,0.013586479110090144,-0.0029879860139220282,-0.028964737983884103,-0.04750411065577209,1036.3559936523438,1056.9764556884766,1046.8387064615886,-0.00043783778149629037,-0.00014288279799475927,-0.018218461614462944,-0.059989560822265364,-0.07235029065783993,2026-09-11,1,1.0682339449541285,0.029068543919881444,0.13061553732222025,0.06356049441357545,-0.0707649126868155,-0.30770888585956974,-0.05952195384991071,BEAR,0.008497204926094515,-0.011494142557644693,-0.06873334436320433,0.008497204926094515,0.008497204926094515,-0.011494142557644693,-0.011494142557644693,-0.06873334436320433,-0.06873334436320433,SPY,SPY,AVAILABLE,LOCAL_CURRENCY_ASSET_VS_USD_BENCHMARK_NOT_FX_HEDGED,0.004253198482048998,0.576036866359447,0.3778801843317972,0.5668202764976958,0.5529953917050692,0.7235023041474654,0.815668202764977,0.5207373271889401,0.5658986175115208,WEAKENING
SCCO,Southern Copper,Copper,US,SPY,CORE,193.49000549316406,-0.003348067881569383,-0.030271103709140657,0.03145161933180174,0.012153687939684632,200.8419982910156,203.30599822998047,187.02106323242188,0.0023587589856745466,0.002155969747934601,-0.04828186488483499,-0.12360718107174784,-0.12360718107174784,2026-09-11,1,0.6488538423829017,0.046299917532941055,0.054822634571112555,0.1579639041784946,-0.11929900691465545,0.1430383209742685,0.010915535686866424,PULLBACK,-0.018785912769124113,0.04892221475804115,-0.009075545767747606,-0.018785912769124113,-0.018785912769124113,0.04892221475804115,0.04892221475804115,-0.009075545767747606,-0.009075545767747606,SPY,SPY,AVAILABLE,LOCAL_CURRENCY_ASSET_VS_USD_BENCHMARK_NOT_FX_HEDGED,-0.03813400854209109,0.7926267281105991,0.5299539170506913,0.15668202764976957,0.7880184331797235,0.14285714285714285,0.6451612903225806,0.7972350230414746,0.5649769585253457,NEUTRAL
INTC,Intel,Semiconductor,US,SPY,CORE,102.94000244140625,0.026116454889873797,0.12294103302686477,-0.015493450220096627,-0.1205467769540538,101.9540008544922,94.60950050354003,103.95233319600423,-0.0014550388354537891,-0.0033127424103077505,0.08805143134176574,-0.036773652139739155,-0.27685284139328226,2026-09-11,1,0.947020096487305,0.044498872944336784,0.03049690759495598,0.16396161736403897,-0.16545520109321576,-0.3429328505421238,-0.002881786159990449,BEAR,0.1344262239668813,0.001977145206142783,-0.14177601066148604,0.1344262239668813,0.1344262239668813,0.001977145206142783,0.001977145206142783,-0.14177601066148604,-0.14177601066148604,SPY,SPY,AVAILABLE,LOCAL_CURRENCY_ASSET_VS_USD_BENCHMARK_NOT_FX_HEDGED,0.12681439558188892,0.6543778801843319,0.22119815668202766,0.9769585253456221,0.4470046082949309,0.5852534562211982,0.34101382488479265,0.6820276497695853,0.5599078341013825,EMERGING
VST,Vistra,Power,US,SPY,CORE,148.3800048828125,0.009044554936775917,0.028844845561630805,0.013524665771011746,-0.06318775036418145,149.51000366210937,142.74550170898436,151.04631525675455,0.000987676309585277,-0.001254464555474958,0.039472369401280405,-0.042091602779720017,-0.3221820669651715,2026-09-11,1,0.7523735693982512,0.030614933321800042,0.04258088142641129,0.09210207994235659,-0.08418281786035375,0.019658349888293097,0.006252759871305023,BEAR,0.04033003650164735,0.030995261197251156,-0.08441698407161369,0.04033003650164735,0.04033003650164735,0.030995261197251156,0.030995261197251156,-0.08441698407161369,-0.08441698407161369,SPY,SPY,AVAILABLE,LOCAL_CURRENCY_ASSET_VS_USD_BENCHMARK_NOT_FX_HEDGED,0.02546367911887787,0.7511520737327189,0.3225806451612903,0.7235023041474654,0.6866359447004609,0.271889400921659,0.2534562211981567,0.7741935483870968,0.5594470046082949,EMERGING
QQQ,Nasdaq 100,Factor_Growth,US,SPY,CORE,714.8800048828125,0.008734428904149771,-0.003887550118830907,-0.02348136417203761,-0.01944805058627952,715.4400024414062,715.6679992675781,712.5435648600261,-0.0003411705528016139,-0.0002809813483182195,-0.0011010613658457569,-0.026818061679755423,-0.04405850191975347,2026-09-11,1,0.868160170977162,0.010902934299365525,0.19652447929641081,0.035711922601332234,-0.03517423162044098,-0.22165490749486721,-0.12921911034011196,PULLBACK,0.007597640821185636,-0.006010768745798201,-0.04067728429371176,0.007597640821185636,0.007597640821185636,-0.006010768745798201,-0.006010768745798201,-0.04067728429371176,-0.04067728429371176,SPY,SPY,AVAILABLE,LOCAL_CURRENCY_ASSET_VS_USD_BENCHMARK_NOT_FX_HEDGED,0.001982790924178496,0.6082949308755761,0.45622119815668205,0.5253456221198156,0.5714285714285714,0.4608294930875576,0.8986175115207373,0.43317972350230416,0.5585253456221199,NEUTRAL
CLOU,Cloud Computing ETF,Cloud_AI,US,SPY,CORE,27.1299991607666,-0.0014722456906521852,-0.0463972431203713,-0.0680179116478915,0.19832155000724527,27.336000061035158,27.867500019073486,25.433249950408936,0.0006882902151355129,0.002792128010851664,-0.026464550383138552,-0.07374536316984792,-0.07374536316984792,2026-09-11,1,1.4075109070689213,0.025417296929859595,0.24444449677222618,0.08933794451375304,-0.0680179116478915,-0.6843463754938225,-0.18610909703331058,PULLBACK,-0.03491205218035476,-0.050547316221652094,0.17709231629981304,-0.03491205218035476,-0.03491205218035476,-0.050547316221652094,-0.050547316221652094,0.17709231629981304,0.17709231629981304,SPY,SPY,AVAILABLE,LOCAL_CURRENCY_ASSET_VS_USD_BENCHMARK_NOT_FX_HEDGED,-0.029392765208398425,0.34101382488479265,0.8294930875576036,0.21658986175115208,0.6728110599078341,0.9078341013824884,0.8110599078341014,0.33640552995391704,0.5564516129032259,WEAKENING
AIR.PA,Airbus,Defense,EU,^STOXX,CORE,199.39999389648438,0.018490117171102494,0.012182710134438501,-0.06341005348531825,0.03886626737621013,198.23599853515626,202.70249938964844,202.37966588338216,-0.0037932349711830016,0.002055491992784575,-0.016292376774376893,-0.07919653157970352,-0.0823114465657182,2026-09-11,1,1.2797923939882856,0.022496066855143364,0.32862693242008456,0.05512599522272402,-0.09108633088734608,-0.6177422610730818,-0.37801134069836606,BEAR,0.027588657409314155,-0.03285970012875494,0.03579008177737997,0.027588657409314155,0.023667901074455044,-0.03285970012875494,-0.04593945805907884,0.03579008177737997,0.05486353808161182,^STOXX,SPY,AVAILABLE,LOCAL_CURRENCY_ASSET_VS_USD_BENCHMARK_NOT_FX_HEDGED,0.028035223505768064,0.43317972350230416,0.6405529953917051,0.7465437788018433,0.2119815668202765,0.8755760368663594,0.7788018433179723,0.1889400921658986,0.5539170506912443,WEAKENING
NXPI,NXP Semiconductors,Analog_Semiconductor,US,SPY,CORE,236.6199951171875,0.044818271037111224,0.05169113889539778,0.02030956569661635,-0.21614242949055396,227.6239990234375,226.44850006103516,254.11876754760743,-0.0017641929529806791,-0.00541034712328116,0.04491747595329976,-0.008298453209046097,-0.3015954593376309,2026-09-11,1,1.02077153274179,0.026932877024589685,0.07508357917350998,0.07496655806341385,-0.052447754527951695,-0.0462023265920736,0.020341268471624083,BEAR,0.06317632983541432,0.03778016112285576,-0.2373716631979862,0.06317632983541432,0.06317632983541432,0.03778016112285576,0.03778016112285576,-0.2373716631979862,-0.2373716631979862,SPY,SPY,AVAILABLE,LOCAL_CURRENCY_ASSET_VS_USD_BENCHMARK_NOT_FX_HEDGED,0.046613747471243694,0.7649769585253456,0.07834101382488479,0.8433179723502304,0.39631336405529954,0.6682027649769585,0.2995391705069124,0.8294930875576036,0.5527649769585253,EMERGING
SU.PA,Schneider Electric,Power_Grid,EU,^STOXX,CORE,291.1000061035156,0.012874085892861542,0.013050286829119129,-0.05869036021498586,0.0003436635859643822,291.1600036621094,294.7300003051758,284.89333292643227,-0.0021094946651333147,0.0012725026036262,-0.012316337657861554,-0.061875547678923226,-0.06788338942717831,2026-09-11,1,0.8794455299167868,0.02418780478545029,0.21415898866835836,0.08509886116297165,-0.07275666936135816,-0.5459059442335441,-0.14769960509991056,PULLBACK,0.028456234103994782,-0.02814000685842255,-0.002732522012865779,0.028456234103994782,0.024535477769135672,-0.02814000685842255,-0.04121976478874645,-0.002732522012865779,0.029862996921922846,^STOXX,SPY,AVAILABLE,LOCAL_CURRENCY_ASSET_VS_USD_BENCHMARK_NOT_FX_HEDGED,0.027722876882865594,0.47465437788018433,0.576036866359447,0.7419354838709677,0.3548387096774194,0.4700460829493088,0.8294930875576036,0.391705069124424,0.5497695852534562,NEUTRAL
ETN,Eaton,Power_Grid,US,SPY,CORE,425.3699951171875,0.0396431662291723,0.07113718862648466,-0.061676907072682696,0.04588209349540273,416.54400024414065,415.8405029296875,414.9949259440104,-0.005000075587595833,0.00035261450329481095,0.022916219368634527,-0.07318719924017236,-0.11010461272554917,2026-09-11,1,0.9372431590502848,0.030254335804442832,0.17433592669995476,0.10715446665907132,-0.14205095148971558,-0.5651047878403902,-0.1003458006534986,STRONG_UP,0.0826223795665012,-0.044206311646443286,0.024652859787970494,0.0826223795665012,0.0826223795665012,-0.044206311646443286,-0.044206311646443286,0.024652859787970494,0.024652859787970494,SPY,SPY,AVAILABLE,LOCAL_CURRENCY_ASSET_VS_USD_BENCHMARK_NOT_FX_HEDGED,0.08655641539465533,0.391705069124424,0.6267281105990783,0.9447004608294931,0.11981566820276497,0.5622119815668203,0.6866359447004609,0.46543778801843316,0.5483870967741936,NEUTRAL
F,Ford,Auto,US,SPY,CORE,13.970000267028809,0.0064841607958097125,-0.030534322348540477,0.005759533601776612,-0.020034670657188447,13.98400001525879,14.055499982833862,13.991074387232462,0.0006171047737991313,-0.0014861033663556935,-0.006083007784104089,-0.04576503146050337,-0.20577618532679853,2026-09-11,1,0.9035067860712593,0.030473468033025745,0.0139860069905026,0.113574549997167,-0.08002736562601576,-0.05455620575958625,0.000709251123764009,BEAR,-0.019049131408523934,0.023230129028016022,-0.041263904364620685,-0.019049131408523934,-0.019049131408523934,0.023230129028016022,0.023230129028016022,-0.041263904364620685,-0.041263904364620685,SPY,SPY,AVAILABLE,LOCAL_CURRENCY_ASSET_VS_USD_BENCHMARK_NOT_FX_HEDGED,-0.03197420574898463,0.7327188940092166,0.45161290322580644,0.2073732718894009,0.6543778801843319,0.5069124423963134,0.4423963133640553,0.7557603686635944,0.5405529953917051,NEUTRAL
TXN,Texas Instruments,Analog_Semiconductor,US,SPY,CORE,268.70001220703125,0.0381732656024385,0.05858255631213294,-0.017298689227405073,-0.11656216299522515,261.29400634765625,263.37150115966796,281.34375152587893,-0.004050809652537264,-0.0023032884576202266,0.02023191964165072,-0.061178784007598686,-0.1914625237405856,2026-09-11,1,0.9685456244160697,0.02760645318976254,0.05794414046085541,0.08650082728020708,-0.10452089689813648,-0.2401374520172562,-0.01158783921377366,BEAR,0.07006774725214948,0.00017190619883433733,-0.1377913967026574,0.07006774725214948,0.07006774725214948,0.00017190619883433733,0.00017190619883433733,-0.1377913967026574,-0.1377913967026574,SPY,SPY,AVAILABLE,LOCAL_CURRENCY_ASSET_VS_USD_BENCHMARK_NOT_FX_HEDGED,0.0629072286189842,0.6451612903225806,0.22580645161290322,0.9032258064516129,0.17972350230414746,0.6129032258064516,0.47465437788018433,0.6543778801843319,0.5341013824884793,NEUTRAL
NVDA,NVIDIA,AI_Semiconductor,US,SPY,CORE,218.2899932861328,-0.00032060507429509943,-0.043404447954241254,-0.030029986253757746,0.0536341065144732,223.13004150390626,219.94082489013672,210.32512995402018,0.001225542654010543,0.00055048192887702,-0.00750579891126868,-0.06911630008914083,-0.07504458035384509,2026-09-11,1,0.6953779508103108,0.03512401838884572,0.07974185463884766,0.12526007025394673,-0.07465604900426193,-0.3220739124862634,-0.019117399453783972,PULLBACK,-0.03191925701422471,-0.012559390827518335,0.03240487280704096,-0.03191925701422471,-0.03191925701422471,-0.012559390827518335,-0.012559390827518335,0.03240487280704096,0.03240487280704096,SPY,SPY,AVAILABLE,LOCAL_CURRENCY_ASSET_VS_USD_BENCHMARK_NOT_FX_HEDGED,-0.03589695139080182,0.5668202764976958,0.6359447004608295,0.1935483870967742,0.7004608294930875,0.19815668202764977,0.8064516129032258,0.6359447004608295,0.5320276497695853,WEAKENING
TSLA,Tesla,EV,US,SPY,CORE,365.44000244140625,0.0051710993933249405,-0.029040552694372113,0.07495002831736164,-0.09692087398252425,363.80999755859375,355.1299987792969,361.60899810791017,0.005281890783908772,-0.002700081610397042,0.02903163263466446,-0.048432469767899056,-0.26740570479223813,2026-09-11,1,0.7610517184255585,0.03905466896824203,0.1459670932473377,0.14302544318661867,-0.05922365978717725,0.44052964525616156,0.07649154953511438,REBOUND,-0.01755536175435557,0.09242062374360105,-0.11815010768995649,-0.01755536175435557,-0.01755536175435557,0.09242062374360105,0.09242062374360105,-0.11815010768995649,-0.11815010768995649,SPY,SPY,AVAILABLE,LOCAL_CURRENCY_ASSET_VS_USD_BENCHMARK_NOT_FX_HEDGED,-0.04777805977371252,0.8894009216589862,0.2488479262672811,0.11981566820276497,0.9124423963133641,0.2764976958525346,0.3548387096774194,0.8709677419354839,0.5315668202764977,NEUTRAL
6501.T,Hitachi,Power_Grid,JP,^N225,CORE,5199.0,0.0032805866460825506,-0.03310396131671933,-0.09849141668111672,0.10593490746649659,5219.8,5338.35,5083.483333333334,-0.0025367303111289738,0.0011051018193208727,-0.0261035713282195,-0.08597046413502107,-0.13413868006565155,2026-09-11,1,1.026956571137617,0.026722171846234162,0.33530106257378983,0.09298477996671882,-0.10299982659961848,-0.8824968669059926,-0.35515787292712203,PULLBACK,-0.01757663211070215,-0.030056004215052168,0.19020844882246157,-0.01757663211070215,-0.017102253006171853,-0.030056004215052168,-0.07074406609603345,0.19020844882246157,0.08334185890803436,^N225,SPY,AVAILABLE,LOCAL_CURRENCY_ASSET_VS_USD_BENCHMARK_NOT_FX_HEDGED,-0.008481107146440153,0.4608294930875576,0.847926267281106,0.391705069124424,0.31797235023041476,0.6912442396313364,0.6221198156682027,0.2119815668202765,0.5278801843317973,WEAKENING
AMZN,Amazon,Cloud_AI,US,SPY,CORE,256.7799987792969,0.01941323356027369,-0.008188471097589689,-0.03149400652410628,0.04382113324917425,255.31000061035155,258.96049880981445,252.09299926757814,-0.003364039663093886,0.00025601652243323136,-0.008420203237710755,-0.04029002421012551,-0.10591926230771109,2026-09-11,1,0.8353141788467926,0.021922605563416353,0.12634308182126722,0.07386750027181771,-0.05457341022347484,-0.3347351964618539,-0.053867395383796264,PULLBACK,0.003296719842426854,-0.014023411097866867,0.02259189954174201,0.003296719842426854,0.003296719842426854,-0.014023411097866867,-0.014023411097866867,0.02259189954174201,0.02259189954174201,SPY,SPY,AVAILABLE,LOCAL_CURRENCY_ASSET_VS_USD_BENCHMARK_NOT_FX_HEDGED,-0.00031496946656311975,0.5576036866359447,0.6175115207373272,0.4976958525345622,0.2488479262672811,0.41013824884792627,0.695852534562212,0.543778801843318,0.5274193548387097,WEAKENING
