theme,n,above_ma20_pct,above_ma60_pct,positive_rs5_pct,positive_rs20_pct,near_20d_high_pct,near_52w_high_pct,breadth_confidence,breadth_eligible,median_rs20,median_keynes_v2,median_keynes_legacy
Factor_SmallCap,1,0.0,0.0,0.0,0.0,0.0,0.0,LOW,False,-0.0306677418111988,-0.4506834181947864,-0.42021077048867117
Power_Grid,16,0.3125,0.375,0.8125,0.0,0.125,0.0,HIGH,True,-0.04222063016648614,-0.23643175968097557,-0.6469411318507394
Semiconductor_Materials,2,0.0,0.0,0.5,0.0,0.0,0.0,LOW,False,-0.04721084700994166,-0.6917411076914587,-1.079062340164653
Consumer,2,0.0,0.0,0.0,0.0,0.0,0.0,LOW,False,-0.04812203903040935,-0.2762516896859385,-0.615891429542649
Software_AI,1,0.0,1.0,0.0,0.0,0.0,0.0,LOW,False,-0.048335779305798354,-0.061432920729279444,-0.7372807021905432
Industrials,11,0.09090909090909091,0.0,0.36363636363636365,0.0,0.0,0.0,HIGH,True,-0.051933020355630855,-0.49653382410852687,-0.9714419990121472
Pharma,2,0.0,0.0,0.0,0.0,0.0,0.0,LOW,False,-0.053626356669291,-0.19800129260302402,-0.7096516320157618
Electronic_Components,1,0.0,0.0,0.0,0.0,0.0,0.0,LOW,False,-0.056642469153873165,-0.35746691520824836,-1.1914300937498234
Semiconductor_Equipment,11,0.09090909090909091,0.09090909090909091,0.5454545454545454,0.0,0.0,0.0,HIGH,True,-0.07307071713113333,-0.3767117954900924,-1.2801913961911908
MLCC,3,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,MEDIUM,True,-0.08270331883482096,-0.12574103012747434,-1.1974538907822019
Defense,17,0.0,0.058823529411764705,0.23529411764705882,0.0,0.0,0.0,HIGH,True,-0.10055046671382084,-0.7794834463893779,-1.0712446477620825
