code,ticker,name,industry,exchange,market,listed_date,cfi_code,benchmark,theme,region,source
6548,6548.TWO,長科*,半導體業,TPEX,上櫃,2016/09/13,ESVUFR,^TWII,半導體業,TW,TWSE_ISIN
6556,6556.TWO,勝品,光電業,TPEX,上櫃,2017/10/31,ESVUFR,^TWII,光電業,TW,TWSE_ISIN
6560,6560.TWO,欣普羅,光電業,TPEX,上櫃,2017/01/24,ESVUFR,^TWII,光電業,TW,TWSE_ISIN
6561,6561.TWO,是方,通信網路業,TPEX,上櫃,2018/06/05,ESVUFR,^TWII,通信網路業,TW,TWSE_ISIN
6568,6568.TWO,宏觀,半導體業,TPEX,上櫃,2016/12/28,ESVUFR,^TWII,半導體業,TW,TWSE_ISIN
6569,6569.TWO,醫揚,生技醫療業,TPEX,上櫃,2016/12/21,ESVUFR,^TWII,生技醫療業,TW,TWSE_ISIN
6570,6570.TWO,維田,電腦及週邊設備業,TPEX,上櫃,2017/12/11,ESVUFR,^TWII,電腦及週邊設備業,TW,TWSE_ISIN
6574,6574.TWO,霈方,生技醫療業,TPEX,上櫃,2017/09/04,ESVUFR,^TWII,生技醫療業,TW,TWSE_ISIN
6576,6576.TWO,逸達,生技醫療業,TPEX,上櫃,2018/06/29,ESVUFR,^TWII,生技醫療業,TW,TWSE_ISIN
6577,6577.TWO,勁豐,電腦及週邊設備業,TPEX,上櫃,2017/03/21,ESVUFR,^TWII,電腦及週邊設備業,TW,TWSE_ISIN
6578,6578.TWO,達邦蛋白,農業科技業,TPEX,上櫃,2018/09/18,ESVUFR,^TWII,農業科技業,TW,TWSE_ISIN
6584,6584.TWO,南俊國際,電子零組件業,TPEX,上櫃,2023/05/18,ESVUFR,^TWII,電子零組件業,TW,TWSE_ISIN
6588,6588.TWO,東典光電,通信網路業,TPEX,上櫃,2020/07/01,ESVUFR,^TWII,通信網路業,TW,TWSE_ISIN
6590,6590.TWO,普鴻,資訊服務業,TPEX,上櫃,2018/12/24,ESVUFR,^TWII,資訊服務業,TW,TWSE_ISIN
6593,6593.TWO,台灣銘板,資訊服務業,TPEX,上櫃,2017/11/03,ESVUFR,^TWII,資訊服務業,TW,TWSE_ISIN
6596,6596.TWO,寬宏藝術,文化創意業,TPEX,上櫃,2018/01/04,ESVUFR,^TWII,文化創意業,TW,TWSE_ISIN
6597,6597.TWO,立誠,電子零組件業,TPEX,上櫃,2025/05/08,ESVUFR,^TWII,電子零組件業,TW,TWSE_ISIN
6603,6603.TWO,富強鑫,電機機械,TPEX,上櫃,2004/04/05,ESVUFR,^TWII,電機機械,TW,TWSE_ISIN
6609,6609.TWO,瀧澤科,電機機械,TPEX,上櫃,2003/09/23,ESVUFR,^TWII,電機機械,TW,TWSE_ISIN
6612,6612.TWO,奈米醫材,生技醫療業,TPEX,上櫃,2018/07/18,ESVUFR,^TWII,生技醫療業,TW,TWSE_ISIN
6613,6613.TWO,朋億*,其他電子業,TPEX,上櫃,2017/12/28,ESVUFR,^TWII,其他電子業,TW,TWSE_ISIN
6615,6615.TWO,慧智,生技醫療業,TPEX,上櫃,2018/01/22,ESVUFR,^TWII,生技醫療業,TW,TWSE_ISIN
6616,6616.TWO,特昇-KY,居家生活,TPEX,上櫃,2018/01/10,ESVUFR,^TWII,居家生活,TW,TWSE_ISIN
6617,6617.TWO,共信-KY,生技醫療業,TPEX,上櫃,2024/06/18,ESVUFR,^TWII,生技醫療業,TW,TWSE_ISIN
6620,6620.TWO,漢達,生技醫療業,TPEX,上櫃,2025/12/23,ESVUFR,^TWII,生技醫療業,TW,TWSE_ISIN
6624,6624.TWO,萬年清,綠能環保,TPEX,上櫃,2019/05/28,ESVUFR,^TWII,綠能環保,TW,TWSE_ISIN
6629,6629.TWO,泰金-KY,居家生活,TPEX,上櫃,2019/06/06,ESVUFR,^TWII,居家生活,TW,TWSE_ISIN
6637,6637.TWO,醫影,生技醫療業,TPEX,上櫃,2024/06/18,ESVUFR,^TWII,生技醫療業,TW,TWSE_ISIN
6640,6640.TWO,均華,半導體業,TPEX,上櫃,2018/10/23,ESVUFR,^TWII,半導體業,TW,TWSE_ISIN
6642,6642.TWO,富致,電子零組件業,TPEX,上櫃,2019/09/23,ESVUFR,^TWII,電子零組件業,TW,TWSE_ISIN
6643,6643.TWO,M31,半導體業,TPEX,上櫃,2019/01/23,ESVUFR,^TWII,半導體業,TW,TWSE_ISIN
6649,6649.TWO,台生材,生技醫療業,TPEX,上櫃,2019/06/05,ESVUFR,^TWII,生技醫療業,TW,TWSE_ISIN
6651,6651.TWO,全宇昕,半導體業,TPEX,上櫃,2021/02/01,ESVUFR,^TWII,半導體業,TW,TWSE_ISIN
6654,6654.TWO,天正國際,其他電子業,TPEX,上櫃,2018/10/23,ESVUFR,^TWII,其他電子業,TW,TWSE_ISIN
6661,6661.TWO,威健生技,生技醫療業,TPEX,上櫃,2021/01/27,ESVUFR,^TWII,生技醫療業,TW,TWSE_ISIN
6662,6662.TWO,樂斯科,生技醫療業,TPEX,上櫃,2019/03/26,ESVUFR,^TWII,生技醫療業,TW,TWSE_ISIN
6664,6664.TWO,群翊,電子零組件業,TPEX,上櫃,2018/09/12,ESVUFR,^TWII,電子零組件業,TW,TWSE_ISIN
6667,6667.TWO,信紘科,其他電子業,TPEX,上櫃,2018/11/13,ESVUFR,^TWII,其他電子業,TW,TWSE_ISIN
6679,6679.TWO,鈺太,半導體業,TPEX,上櫃,2019/05/09,ESVUFR,^TWII,半導體業,TW,TWSE_ISIN
6680,6680.TWO,鑫創電子,電腦及週邊設備業,TPEX,上櫃,2019/09/16,ESVUFR,^TWII,電腦及週邊設備業,TW,TWSE_ISIN
6683,6683.TWO,雍智科技,半導體業,TPEX,上櫃,2019/04/23,ESVUFR,^TWII,半導體業,TW,TWSE_ISIN
6684,6684.TWO,安格,半導體業,TPEX,上櫃,2021/08/11,ESVUFR,^TWII,半導體業,TW,TWSE_ISIN
6690,6690.TWO,安碁資訊,數位雲端,TPEX,上櫃,2019/10/30,ESVUFR,^TWII,數位雲端,TW,TWSE_ISIN
6692,6692.TWO,進能服,綠能環保,TPEX,上櫃,2024/02/02,ESVUFR,^TWII,綠能環保,TW,TWSE_ISIN
6693,6693.TWO,廣閎科,半導體業,TPEX,上櫃,2022/03/01,ESVUFR,^TWII,半導體業,TW,TWSE_ISIN
6697,6697.TWO,東捷資訊,資訊服務業,TPEX,上櫃,2019/12/26,ESVUFR,^TWII,資訊服務業,TW,TWSE_ISIN
6703,6703.TWO,軒郁,生技醫療業,TPEX,上櫃,2020/10/20,ESVUFR,^TWII,生技醫療業,TW,TWSE_ISIN
6708,6708.TWO,天擎,半導體業,TPEX,上櫃,2022/12/29,ESVUFR,^TWII,半導體業,TW,TWSE_ISIN
6712,6712.TWO,長聖,生技醫療業,TPEX,上櫃,2021/01/08,ESVUFR,^TWII,生技醫療業,TW,TWSE_ISIN
6716,6716.TWO,應廣,半導體業,TPEX,上櫃,2020/03/27,ESVUFR,^TWII,半導體業,TW,TWSE_ISIN
