run_id,driver_id,driver_label,global_theme,configured_peer_count,live_peer_count,peer_tickers,peer_names,above_ma20_pct,above_ma60_pct,positive_rs20_pct,median_ret20,median_rs20,peer_signal
20260919T131926+0800-ad2c247a,ENTERPRISE_IT_SPEND,Enterprise IT integration / infrastructure spending,Enterprise_IT,2,2,CDW;NSIT,CDW CDW; NSIT Insight Enterprises,0.0,1.0,1.0,0.07689854202162838,0.07809179297057067,MIXED
20260919T131926+0800-ad2c247a,ENTERPRISE_SOFTWARE_CYCLE,Enterprise software / digital transformation cycle,Enterprise_Software,2,2,ORCL;SAP,ORCL Oracle; SAP SAP SE ADR,0.0,1.0,0.5,0.0019010187243893029,0.0030942696733315955,BROADLY_WEAK
20260919T131926+0800-ad2c247a,FINANCIALS_RATE_CREDIT_CYCLE,Financials rate / credit / margin cycle,Financials,5,5,JPM;BAC;GS;XLF;KBE,JPM JPMorgan; BAC Bank of America; GS Goldman Sachs; XLF Financial Select Sector SPDR Fund; KBE SPDR S&P Bank ETF,0.0,0.0,0.0,-0.029146020401458195,-0.027952769452515902,BROADLY_WEAK
20260919T131926+0800-ad2c247a,FOLDABLE_DEVICE_MECHANICALS,Foldable-device hinge / precision-mechanical demand,Foldable_Devices,2,2,005930.KS;1810.HK,005930.KS Samsung Electronics; 1810.HK Xiaomi,0.5,0.0,0.0,-0.08155337377482941,-0.056002766251787794,MIXED
20260919T131926+0800-ad2c247a,FOUNDRY_CYCLE,Semiconductor foundry utilization / wafer cycle,Foundry,2,2,TSM;GFS,TSM Taiwan Semiconductor Manufacturing; GFS GlobalFoundries,1.0,0.5,1.0,0.027616318092303804,0.028809569041246097,BROADLY_POSITIVE
20260919T131926+0800-ad2c247a,FUNERAL_SERVICES_CYCLE,Funeral / death-care services cycle,Funeral_Services,2,2,SCI;CSV,SCI Service Corporation International; CSV Carriage Services,0.0,0.0,0.0,-0.09228984651165739,-0.0910965955627151,BROADLY_WEAK
20260919T131926+0800-ad2c247a,GENOMICS_RISK_APPETITE,Genomics risk appetite,Biopharma,2,2,ARKG;XBI,ARKG ARK Genomic Revolution ETF; XBI SPDR S&P Biotech ETF,0.5,0.5,0.5,0.021599586374297486,0.02279283732323978,MIXED
20260919T131926+0800-ad2c247a,GLOBAL_FREIGHT_FORWARDING,Global freight-forwarding / logistics cycle,Logistics,2,2,EXPD;KNIN.SW,EXPD Expeditors International; KNIN.SW Kuehne + Nagel,1.0,1.0,1.0,0.01944150461756078,0.04321934499497537,BROADLY_POSITIVE
20260919T131926+0800-ad2c247a,GRID_CAPEX,Grid modernization / transformer and cable capex,Power_Grid,5,5,GEV;ETN;HUBB;PWR;ABBN.SW,GEV GE Vernova; ETN Eaton; HUBB Hubbell; PWR Quanta Services; ABBN.SW ABB,0.8,0.2,0.4,-0.02658356788871341,-0.025390316939771118,MIXED
20260919T131926+0800-ad2c247a,GRID_ELECTRICAL_EQUIPMENT_CYCLE,Grid electrical equipment / transformer cycle,Grid_Equipment,2,2,GEV;ETN,GEV GE Vernova; ETN Eaton,1.0,0.5,0.5,-0.0018780967935803083,-0.0006848458446380157,BROADLY_POSITIVE
